index,date,venue,num_visitors
0,5/8/2013,online,1331
0,5/8/2013,museum,513
0,5/8/2013,guestbook,57
1,5/9/2013,online,1801
1,5/9/2013,museum,904
1,5/9/2013,guestbook,221
2,5/10/2013,online,1399
2,5/10/2013,museum,981
2,5/10/2013,guestbook,185
3,5/11/2013,online,1186
3,5/11/2013,museum,714
3,5/11/2013,guestbook,26
4,5/12/2013,online,1640
4,5/12/2013,museum,974
4,5/12/2013,guestbook,203
5,5/13/2013,online,1571
5,5/13/2013,museum,884
5,5/13/2013,guestbook,353
6,5/14/2013,online,1708
6,5/14/2013,museum,830
6,5/14/2013,guestbook,21
7,5/15/2013,online,1141
7,5/15/2013,museum,846
7,5/15/2013,guestbook,374
8,5/16/2013,online,1815
8,5/16/2013,museum,985
8,5/16/2013,guestbook,8
9,5/17/2013,online,1186
9,5/17/2013,museum,917
9,5/17/2013,guestbook,226
10,5/18/2013,online,1504
10,5/18/2013,museum,797
10,5/18/2013,guestbook,169
11,5/19/2013,online,1559
11,5/19/2013,museum,692
11,5/19/2013,guestbook,284
12,5/20/2013,online,1656
12,5/20/2013,museum,712
12,5/20/2013,guestbook,215
13,5/21/2013,online,1172
13,5/21/2013,museum,844
13,5/21/2013,guestbook,391
14,5/22/2013,online,1558
14,5/22/2013,museum,935
14,5/22/2013,guestbook,217
15,5/23/2013,online,1582
15,5/23/2013,museum,884
15,5/23/2013,guestbook,252
16,5/24/2013,online,1333
16,5/24/2013,museum,765
16,5/24/2013,guestbook,87
17,5/25/2013,online,1093
17,5/25/2013,museum,801
17,5/25/2013,guestbook,284
18,5/26/2013,online,1993
18,5/26/2013,museum,846
18,5/26/2013,guestbook,88
19,5/27/2013,online,1594
19,5/27/2013,museum,671
19,5/27/2013,guestbook,22
20,5/28/2013,online,1389
20,5/28/2013,museum,509
20,5/28/2013,guestbook,71
21,5/29/2013,online,1810
21,5/29/2013,museum,524
21,5/29/2013,guestbook,154
22,5/30/2013,online,1169
22,5/30/2013,museum,610
22,5/30/2013,guestbook,343
23,5/31/2013,online,1351
23,5/31/2013,museum,553
23,5/31/2013,guestbook,334
24,6/1/2013,online,1232
24,6/1/2013,museum,570
24,6/1/2013,guestbook,185
25,6/2/2013,online,1109
25,6/2/2013,museum,753
25,6/2/2013,guestbook,293
26,6/3/2013,online,1170
26,6/3/2013,museum,951
26,6/3/2013,guestbook,186
27,6/4/2013,online,1648
27,6/4/2013,museum,666
27,6/4/2013,guestbook,383
28,6/5/2013,online,1963
28,6/5/2013,museum,788
28,6/5/2013,guestbook,333
29,6/6/2013,online,1412
29,6/6/2013,museum,519
29,6/6/2013,guestbook,114
30,6/7/2013,online,1191
30,6/7/2013,museum,823
30,6/7/2013,guestbook,103
31,6/8/2013,online,1705
31,6/8/2013,museum,623
31,6/8/2013,guestbook,78
32,6/9/2013,online,1386
32,6/9/2013,museum,547
32,6/9/2013,guestbook,152
33,6/10/2013,online,1133
33,6/10/2013,museum,766
33,6/10/2013,guestbook,63
34,6/11/2013,online,1787
34,6/11/2013,museum,506
34,6/11/2013,guestbook,291
35,6/12/2013,online,1357
35,6/12/2013,museum,657
35,6/12/2013,guestbook,19
36,6/13/2013,online,1276
36,6/13/2013,museum,588
36,6/13/2013,guestbook,349
37,6/14/2013,online,1701
37,6/14/2013,museum,962
37,6/14/2013,guestbook,184
38,6/15/2013,online,1733
38,6/15/2013,museum,980
38,6/15/2013,guestbook,196
39,6/16/2013,online,1105
39,6/16/2013,museum,711
39,6/16/2013,guestbook,171
40,6/17/2013,online,1850
40,6/17/2013,museum,891
40,6/17/2013,guestbook,200
41,6/18/2013,online,1666
41,6/18/2013,museum,671
41,6/18/2013,guestbook,172
42,6/19/2013,online,1613
42,6/19/2013,museum,901
42,6/19/2013,guestbook,128
43,6/20/2013,online,1663
43,6/20/2013,museum,755
43,6/20/2013,guestbook,260
44,6/21/2013,online,1264
44,6/21/2013,museum,503
44,6/21/2013,guestbook,57
45,6/22/2013,online,1463
45,6/22/2013,museum,692
45,6/22/2013,guestbook,21
46,6/23/2013,online,1717
46,6/23/2013,museum,662
46,6/23/2013,guestbook,206
47,6/24/2013,online,1903
47,6/24/2013,museum,721
47,6/24/2013,guestbook,119
48,6/25/2013,online,1875
48,6/25/2013,museum,518
48,6/25/2013,guestbook,49
49,6/26/2013,online,1361
49,6/26/2013,museum,800
49,6/26/2013,guestbook,134
50,6/27/2013,online,1078
50,6/27/2013,museum,550
50,6/27/2013,guestbook,273
51,6/28/2013,online,1279
51,6/28/2013,museum,611
51,6/28/2013,guestbook,332
52,6/29/2013,online,1296
52,6/29/2013,museum,557
52,6/29/2013,guestbook,376
53,6/30/2013,online,1586
53,6/30/2013,museum,737
53,6/30/2013,guestbook,344
54,7/1/2013,online,1835
54,7/1/2013,museum,534
54,7/1/2013,guestbook,333
55,7/2/2013,online,1403
55,7/2/2013,museum,919
55,7/2/2013,guestbook,31
56,7/3/2013,online,1241
56,7/3/2013,museum,986
56,7/3/2013,guestbook,48
57,7/4/2013,online,1338
57,7/4/2013,museum,966
57,7/4/2013,guestbook,241
58,7/5/2013,online,1459
58,7/5/2013,museum,785
58,7/5/2013,guestbook,72
59,7/6/2013,online,1337
59,7/6/2013,museum,540
59,7/6/2013,guestbook,89
