index,date,venue,num_visitors
0,5/8/2013,online,1732
0,5/8/2013,museum,787
0,5/8/2013,guestbook,144
1,5/9/2013,online,1606
1,5/9/2013,museum,945
1,5/9/2013,guestbook,243
2,5/10/2013,online,1118
2,5/10/2013,museum,703
2,5/10/2013,guestbook,110
3,5/11/2013,online,1347
3,5/11/2013,museum,991
3,5/11/2013,guestbook,218
4,5/12/2013,online,1732
4,5/12/2013,museum,925
4,5/12/2013,guestbook,311
5,5/13/2013,online,1896
5,5/13/2013,museum,842
5,5/13/2013,guestbook,142
6,5/14/2013,online,1485
6,5/14/2013,museum,742
6,5/14/2013,guestbook,171
7,5/15/2013,online,1657
7,5/15/2013,museum,642
7,5/15/2013,guestbook,368
8,5/16/2013,online,1544
8,5/16/2013,museum,848
8,5/16/2013,guestbook,202
9,5/17/2013,online,1767
9,5/17/2013,museum,817
9,5/17/2013,guestbook,212
10,5/18/2013,online,1407
10,5/18/2013,museum,574
10,5/18/2013,guestbook,397
11,5/19/2013,online,1933
11,5/19/2013,museum,610
11,5/19/2013,guestbook,84
12,5/20/2013,online,1435
12,5/20/2013,museum,591
12,5/20/2013,guestbook,199
13,5/21/2013,online,1564
13,5/21/2013,museum,858
13,5/21/2013,guestbook,232
14,5/22/2013,online,1057
14,5/22/2013,museum,928
14,5/22/2013,guestbook,365
15,5/23/2013,online,1816
15,5/23/2013,museum,955
15,5/23/2013,guestbook,11
16,5/24/2013,online,1959
16,5/24/2013,museum,835
16,5/24/2013,guestbook,3
17,5/25/2013,online,1663
17,5/25/2013,museum,580
17,5/25/2013,guestbook,371
18,5/26/2013,online,1492
18,5/26/2013,museum,718
18,5/26/2013,guestbook,309
19,5/27/2013,online,1849
19,5/27/2013,museum,878
19,5/27/2013,guestbook,252
20,5/28/2013,online,1325
20,5/28/2013,museum,620
20,5/28/2013,guestbook,398
21,5/29/2013,online,1390
21,5/29/2013,museum,690
21,5/29/2013,guestbook,168
22,5/30/2013,online,1129
22,5/30/2013,museum,880
22,5/30/2013,guestbook,181
23,5/31/2013,online,1004
23,5/31/2013,museum,942
23,5/31/2013,guestbook,221
24,6/1/2013,online,1825
24,6/1/2013,museum,773
24,6/1/2013,guestbook,358
25,6/2/2013,online,1265
25,6/2/2013,museum,628
25,6/2/2013,guestbook,70
26,6/3/2013,online,1592
26,6/3/2013,museum,850
26,6/3/2013,guestbook,247
27,6/4/2013,online,1002
27,6/4/2013,museum,665
27,6/4/2013,guestbook,382
28,6/5/2013,online,1002
28,6/5/2013,museum,889
28,6/5/2013,guestbook,99
29,6/6/2013,online,1966
29,6/6/2013,museum,713
29,6/6/2013,guestbook,190
30,6/7/2013,online,1662
30,6/7/2013,museum,688
30,6/7/2013,guestbook,221
31,6/8/2013,online,1490
31,6/8/2013,museum,728
31,6/8/2013,guestbook,127
32,6/9/2013,online,1650
32,6/9/2013,museum,550
32,6/9/2013,guestbook,9
33,6/10/2013,online,1091
33,6/10/2013,museum,782
33,6/10/2013,guestbook,278
34,6/11/2013,online,1507
34,6/11/2013,museum,591
34,6/11/2013,guestbook,55
35,6/12/2013,online,1342
35,6/12/2013,museum,798
35,6/12/2013,guestbook,225
36,6/13/2013,online,1720
36,6/13/2013,museum,867
36,6/13/2013,guestbook,281
37,6/14/2013,online,1722
37,6/14/2013,museum,722
37,6/14/2013,guestbook,124
38,6/15/2013,online,1010
38,6/15/2013,museum,763
38,6/15/2013,guestbook,317
39,6/16/2013,online,1266
39,6/16/2013,museum,756
39,6/16/2013,guestbook,173
40,6/17/2013,online,1137
40,6/17/2013,museum,532
40,6/17/2013,guestbook,185
41,6/18/2013,online,1053
41,6/18/2013,museum,946
41,6/18/2013,guestbook,382
42,6/19/2013,online,1896
42,6/19/2013,museum,888
42,6/19/2013,guestbook,297
43,6/20/2013,online,1126
43,6/20/2013,museum,908
43,6/20/2013,guestbook,344
44,6/21/2013,online,1254
44,6/21/2013,museum,674
44,6/21/2013,guestbook,93
45,6/22/2013,online,1768
45,6/22/2013,museum,753
45,6/22/2013,guestbook,191
46,6/23/2013,online,1408
46,6/23/2013,museum,998
46,6/23/2013,guestbook,148
47,6/24/2013,online,1644
47,6/24/2013,museum,944
47,6/24/2013,guestbook,115
48,6/25/2013,online,1811
48,6/25/2013,museum,623
48,6/25/2013,guestbook,121
49,6/26/2013,online,1936
49,6/26/2013,museum,833
49,6/26/2013,guestbook,197
50,6/27/2013,online,1891
50,6/27/2013,museum,808
50,6/27/2013,guestbook,384
51,6/28/2013,online,1004
51,6/28/2013,museum,620
51,6/28/2013,guestbook,344
52,6/29/2013,online,1126
52,6/29/2013,museum,788
52,6/29/2013,guestbook,113
53,6/30/2013,online,1672
53,6/30/2013,museum,985
53,6/30/2013,guestbook,98
54,7/1/2013,online,1446
54,7/1/2013,museum,875
54,7/1/2013,guestbook,244
55,7/2/2013,online,1894
55,7/2/2013,museum,565
55,7/2/2013,guestbook,299
56,7/3/2013,online,1540
56,7/3/2013,museum,611
56,7/3/2013,guestbook,55
57,7/4/2013,online,1898
57,7/4/2013,museum,565
57,7/4/2013,guestbook,253
58,7/5/2013,online,1151
58,7/5/2013,museum,598
58,7/5/2013,guestbook,242
59,7/6/2013,online,1069
59,7/6/2013,museum,829
59,7/6/2013,guestbook,27
60,7/7/2013,online,1399
60,7/7/2013,museum,962
60,7/7/2013,guestbook,384
61,7/8/2013,online,1706
61,7/8/2013,museum,961
61,7/8/2013,guestbook,391
62,7/9/2013,online,1751
62,7/9/2013,museum,875
62,7/9/2013,guestbook,399
63,7/10/2013,online,1184
63,7/10/2013,museum,976
63,7/10/2013,guestbook,43
64,7/11/2013,online,1402
64,7/11/2013,museum,569
64,7/11/2013,guestbook,392
65,7/12/2013,online,1932
65,7/12/2013,museum,751
65,7/12/2013,guestbook,387
66,7/13/2013,online,1618
66,7/13/2013,museum,874
66,7/13/2013,guestbook,23
67,7/14/2013,online,1434
67,7/14/2013,museum,669
67,7/14/2013,guestbook,69
68,7/15/2013,online,1227
68,7/15/2013,museum,865
68,7/15/2013,guestbook,154
69,7/16/2013,online,1995
69,7/16/2013,museum,654
69,7/16/2013,guestbook,227
70,7/17/2013,online,1595
70,7/17/2013,museum,599
70,7/17/2013,guestbook,319
71,7/18/2013,online,1880
71,7/18/2013,museum,766
71,7/18/2013,guestbook,182
72,7/19/2013,online,1401
72,7/19/2013,museum,821
72,7/19/2013,guestbook,400
73,7/20/2013,online,1529
73,7/20/2013,museum,825
73,7/20/2013,guestbook,196
74,7/21/2013,online,1503
74,7/21/2013,museum,686
74,7/21/2013,guestbook,398
75,7/22/2013,online,1379
75,7/22/2013,museum,779
75,7/22/2013,guestbook,7
76,7/23/2013,online,1425
76,7/23/2013,museum,535
76,7/23/2013,guestbook,314
77,7/24/2013,online,1577
77,7/24/2013,museum,673
77,7/24/2013,guestbook,348
78,7/25/2013,online,1333
