index,date,venue,num_visitors
0,5/20/2013,North America,1365
0,5/20/2013,Europe,1717
0,5/20/2013,South America,803
0,5/20/2013,Africa,290
0,5/20/2013,Asia,907
0,5/20/2013,Australia,748
0,5/20/2013,Antarctica,6
1,5/21/2013,North America,1678
1,5/21/2013,Europe,1827
1,5/21/2013,South America,646
1,5/21/2013,Africa,490
1,5/21/2013,Asia,795
1,5/21/2013,Australia,626
1,5/21/2013,Antarctica,10
2,5/22/2013,North America,1248
2,5/22/2013,Europe,1830
2,5/22/2013,South America,932
2,5/22/2013,Africa,277
2,5/22/2013,Asia,845
2,5/22/2013,Australia,550
2,5/22/2013,Antarctica,3
3,5/23/2013,North America,1675
3,5/23/2013,Europe,1927
3,5/23/2013,South America,939
3,5/23/2013,Africa,247
3,5/23/2013,Asia,643
3,5/23/2013,Australia,830
3,5/23/2013,Antarctica,5
4,5/24/2013,North America,1804
4,5/24/2013,Europe,1679
4,5/24/2013,South America,603
4,5/24/2013,Africa,420
4,5/24/2013,Asia,997
4,5/24/2013,Australia,795
4,5/24/2013,Antarctica,5
5,5/25/2013,North America,1305
5,5/25/2013,Europe,1988
5,5/25/2013,South America,554
5,5/25/2013,Africa,420
5,5/25/2013,Asia,754
5,5/25/2013,Australia,630
5,5/25/2013,Antarctica,9
6,5/26/2013,North America,1067
6,5/26/2013,Europe,1538
6,5/26/2013,South America,605
6,5/26/2013,Africa,370
6,5/26/2013,Asia,655
6,5/26/2013,Australia,589
6,5/26/2013,Antarctica,7
7,5/27/2013,North America,1186
7,5/27/2013,Europe,1934
7,5/27/2013,South America,733
7,5/27/2013,Africa,210
7,5/27/2013,Asia,526
7,5/27/2013,Australia,590
7,5/27/2013,Antarctica,5
8,5/28/2013,North America,1060
8,5/28/2013,Europe,1571
8,5/28/2013,South America,646
8,5/28/2013,Africa,337
8,5/28/2013,Asia,634
8,5/28/2013,Australia,915
8,5/28/2013,Antarctica,7
9,5/29/2013,North America,1228
9,5/29/2013,Europe,1884
9,5/29/2013,South America,623
9,5/29/2013,Africa,390
9,5/29/2013,Asia,840
9,5/29/2013,Australia,530
9,5/29/2013,Antarctica,1
10,5/30/2013,North America,1491
10,5/30/2013,Europe,1694
10,5/30/2013,South America,750
10,5/30/2013,Africa,267
10,5/30/2013,Asia,601
10,5/30/2013,Australia,785
10,5/30/2013,Antarctica,3
11,5/31/2013,North America,1079
11,5/31/2013,Europe,1613
11,5/31/2013,South America,655
11,5/31/2013,Africa,392
11,5/31/2013,Asia,832
11,5/31/2013,Australia,670
11,5/31/2013,Antarctica,9
12,6/1/2013,North America,1109
12,6/1/2013,Europe,1859
12,6/1/2013,South America,745
12,6/1/2013,Africa,498
12,6/1/2013,Asia,715
12,6/1/2013,Australia,850
12,6/1/2013,Antarctica,7
13,6/2/2013,North America,1419
13,6/2/2013,Europe,1934
13,6/2/2013,South America,617
13,6/2/2013,Africa,348
13,6/2/2013,Asia,584
13,6/2/2013,Australia,572
13,6/2/2013,Antarctica,8
14,6/3/2013,North America,1699
14,6/3/2013,Europe,1610
14,6/3/2013,South America,848
14,6/3/2013,Africa,242
14,6/3/2013,Asia,667
14,6/3/2013,Australia,783
14,6/3/2013,Antarctica,0
15,6/4/2013,North America,1031
15,6/4/2013,Europe,1888
15,6/4/2013,South America,874
15,6/4/2013,Africa,358
15,6/4/2013,Asia,833
15,6/4/2013,Australia,968
15,6/4/2013,Antarctica,6
16,6/5/2013,North America,1226
16,6/5/2013,Europe,1601
16,6/5/2013,South America,670
16,6/5/2013,Africa,451
16,6/5/2013,Asia,557
16,6/5/2013,Australia,837
16,6/5/2013,Antarctica,1
17,6/6/2013,North America,1134
