index,date,venue,num_visitors
0,5/20/2013,North America,1502
0,5/20/2013,Europe,1854
0,5/20/2013,South America,871
0,5/20/2013,Africa,411
0,5/20/2013,Asia,832
0,5/20/2013,Australia,718
0,5/20/2013,Antarctica,4
1,5/21/2013,North America,1484
1,5/21/2013,Europe,1851
1,5/21/2013,South America,854
1,5/21/2013,Africa,488
1,5/21/2013,Asia,537
1,5/21/2013,Australia,789
1,5/21/2013,Antarctica,5
2,5/22/2013,North America,1773
2,5/22/2013,Europe,1836
2,5/22/2013,South America,949
2,5/22/2013,Africa,272
2,5/22/2013,Asia,628
2,5/22/2013,Australia,782
2,5/22/2013,Antarctica,2
3,5/23/2013,North America,1580
3,5/23/2013,Europe,1661
3,5/23/2013,South America,949
3,5/23/2013,Africa,366
3,5/23/2013,Asia,939
3,5/23/2013,Australia,982
3,5/23/2013,Antarctica,8
4,5/24/2013,North America,1949
4,5/24/2013,Europe,1967
4,5/24/2013,South America,943
4,5/24/2013,Africa,409
4,5/24/2013,Asia,658
4,5/24/2013,Australia,936
4,5/24/2013,Antarctica,0
5,5/25/2013,North America,1929
5,5/25/2013,Europe,1572
5,5/25/2013,South America,741
5,5/25/2013,Africa,388
5,5/25/2013,Asia,980
5,5/25/2013,Australia,962
5,5/25/2013,Antarctica,9
6,5/26/2013,North America,1761
6,5/26/2013,Europe,1766
6,5/26/2013,South America,696
6,5/26/2013,Africa,428
6,5/26/2013,Asia,988
6,5/26/2013,Australia,742
6,5/26/2013,Antarctica,4
7,5/27/2013,North America,1153
7,5/27/2013,Europe,1608
7,5/27/2013,South America,865
7,5/27/2013,Africa,288
7,5/27/2013,Asia,827
7,5/27/2013,Australia,797
7,5/27/2013,Antarctica,2
8,5/28/2013,North America,1017
8,5/28/2013,Europe,1811
8,5/28/2013,South America,886
8,5/28/2013,Africa,223
8,5/28/2013,Asia,593
8,5/28/2013,Australia,999
8,5/28/2013,Antarctica,0
9,5/29/2013,North America,1578
9,5/29/2013,Europe,1575
9,5/29/2013,South America,769
9,5/29/2013,Africa,353
9,5/29/2013,Asia,890
9,5/29/2013,Australia,880
9,5/29/2013,Antarctica,8
10,5/30/2013,North America,1419
10,5/30/2013,Europe,1643
10,5/30/2013,South America,789
10,5/30/2013,Africa,465
10,5/30/2013,Asia,611
10,5/30/2013,Australia,994
10,5/30/2013,Antarctica,8
11,5/31/2013,North America,1107
11,5/31/2013,Europe,1942
11,5/31/2013,South America,586
11,5/31/2013,Africa,394
11,5/31/2013,Asia,573
11,5/31/2013,Australia,791
11,5/31/2013,Antarctica,1
12,6/1/2013,North America,1816
12,6/1/2013,Europe,1546
12,6/1/2013,South America,756
12,6/1/2013,Africa,202
12,6/1/2013,Asia,727
12,6/1/2013,Australia,651
12,6/1/2013,Antarctica,8
13,6/2/2013,North America,1415
13,6/2/2013,Europe,1967
13,6/2/2013,South America,957
13,6/2/2013,Africa,376
13,6/2/2013,Asia,989
13,6/2/2013,Australia,963
13,6/2/2013,Antarctica,0
14,6/3/2013,North America,1971
14,6/3/2013,Europe,1568
14,6/3/2013,South America,615
14,6/3/2013,Africa,213
14,6/3/2013,Asia,809
14,6/3/2013,Australia,897
14,6/3/2013,Antarctica,1
15,6/4/2013,North America,1354
15,6/4/2013,Europe,1947
15,6/4/2013,South America,794
15,6/4/2013,Africa,241
15,6/4/2013,Asia,608
15,6/4/2013,Australia,629
15,6/4/2013,Antarctica,1
16,6/5/2013,North America,1580
16,6/5/2013,Europe,1852
16,6/5/2013,South America,651
16,6/5/2013,Africa,438
16,6/5/2013,Asia,524
16,6/5/2013,Australia,517
16,6/5/2013,Antarctica,9
17,6/6/2013,North America,1234
17,6/6/2013,Europe,1722
17,6/6/2013,South America,742
17,6/6/2013,Africa,272
17,6/6/2013,Asia,538
17,6/6/2013,Australia,648
17,6/6/2013,Antarctica,5
18,6/7/2013,North America,1330
18,6/7/2013,Europe,1595
18,6/7/2013,South America,797
18,6/7/2013,Africa,352
18,6/7/2013,Asia,719
18,6/7/2013,Australia,724
18,6/7/2013,Antarctica,9
19,6/8/2013,North America,1387
19,6/8/2013,Europe,1821
19,6/8/2013,South America,639
19,6/8/2013,Africa,480
19,6/8/2013,Asia,632
19,6/8/2013,Australia,601
19,6/8/2013,Antarctica,6
20,6/9/2013,North America,1003
20,6/9/2013,Europe,1993
20,6/9/2013,South America,857
20,6/9/2013,Africa,318
20,6/9/2013,Asia,525
20,6/9/2013,Australia,884
20,6/9/2013,Antarctica,5
21,6/10/2013,North America,1208
21,6/10/2013,Europe,1955
21,6/10/2013,South America,884
21,6/10/2013,Africa,405
21,6/10/2013,Asia,930
21,6/10/2013,Australia,741
21,6/10/2013,Antarctica,6
22,6/11/2013,North America,1780
22,6/11/2013,Europe,1826
22,6/11/2013,South America,900
22,6/11/2013,Africa,446
22,6/11/2013,Asia,999
22,6/11/2013,Australia,995
22,6/11/2013,Antarctica,7
23,6/12/2013,North America,1728
23,6/12/2013,Europe,1935
23,6/12/2013,South America,792
23,6/12/2013,Africa,385
23,6/12/2013,Asia,688
23,6/12/2013,Australia,745
23,6/12/2013,Antarctica,0
24,6/13/2013,North America,1970
24,6/13/2013,Europe,1894
24,6/13/2013,South America,926
24,6/13/2013,Africa,320
24,6/13/2013,Asia,517
24,6/13/2013,Australia,958
24,6/13/2013,Antarctica,7
25,6/14/2013,North America,1526
25,6/14/2013,Europe,1871
25,6/14/2013,South America,576
25,6/14/2013,Africa,466
25,6/14/2013,Asia,817
25,6/14/2013,Australia,917
25,6/14/2013,Antarctica,6
26,6/15/2013,North America,1199
26,6/15/2013,Europe,1707
26,6/15/2013,South America,747
26,6/15/2013,Africa,281
26,6/15/2013,Asia,778
26,6/15/2013,Australia,655
26,6/15/2013,Antarctica,8
27,6/16/2013,North America,1611
27,6/16/2013,Europe,1644
27,6/16/2013,South America,889
27,6/16/2013,Africa,375
27,6/16/2013,Asia,917
27,6/16/2013,Australia,555
27,6/16/2013,Antarctica,8
28,6/17/2013,North America,1030
28,6/17/2013,Europe,1637
28,6/17/2013,South America,693
28,6/17/2013,Africa,368
28,6/17/2013,Asia,824
28,6/17/2013,Australia,874
28,6/17/2013,Antarctica,1
29,6/18/2013,North America,1079
29,6/18/2013,Europe,1579
29,6/18/2013,South America,595
29,6/18/2013,Africa,291
29,6/18/2013,Asia,765
29,6/18/2013,Australia,909
29,6/18/2013,Antarctica,1
30,6/19/2013,North America,1896
30,6/19/2013,Europe,1801
30,6/19/2013,South America,846
30,6/19/2013,Africa,431
